,novel_img,novel_title,novel_author,novel_chapter_info
0,https://media.light-novelpub.com/novel_200_89/beastmaster-of-the-ages-novel.jpg,beastmaster of the ages,风青阳,chapter 1698 - reentering the starcore
1,https://media.light-novelpub.com/novel_200_89/nine-star-hegemon-body-arts.jpg,nine star hegemon body arts,平凡魔术师,chapter 3204 luo family grand elder
2,https://media.light-novelpub.com/novel_200_89/reborn-as-a-dragon-girl-with-a-system-dragon-girl.jpg,reborn as a dragon girl with a system,invayne,chapter 973: adventurer guild
3,https://media.light-novelpub.com/novel_200_89/level-up-legacy.jpg,level up legacy,MellowGuy,chapter 784: rule the world
4,https://media.light-novelpub.com/novel_200_89/the-sovereigns-ascension.jpg,the sovereign's ascension,Moon Like Fire,chapter 1462 - dragon-blooded demonic corpse
5,https://media.light-novelpub.com/novel_200_89/re-birth-of-a-genius-creator-destroyer.jpg,re-birth of a genius. creator/destroyer,Suryaboddu,chapter 1729: demand
6,https://media.light-novelpub.com/novel_200_89/necropolis-immortal.jpg,necropolis immortal,Immortal Amidst Snow In July,chapter 1741
7,https://media.light-novelpub.com/novel_200_89/i-was-a-sword-when-i-reincarnated.jpg,i was a sword when i reincarnated,Tanaka Yu,chapter 807
8,https://media.light-novelpub.com/novel_200_89/the-authors-pov.jpg,the author's pov,Entrail_JI,chapter&nbsp;649 ren's return[3]
9,https://media.light-novelpub.com/novel_200_89/hero-of-darkness.jpg,hero of darkness,CrimsonWolfAuthor,chapter&nbsp;747 the dungeon boss
10,https://media.light-novelpub.com/novel_200_89/reincarnated-with-the-strongest-system.jpg,reincarnated with the strongest system,Elyon,chapter&nbsp;1291 blitzkrieg under the cover of darkness [part 2]
11,https://media.light-novelpub.com/novel_200_89/divine-hint-reporting-an-escaped-convict-from-the-start.jpg,divine hint: reporting an escaped convict from the start,Bean Of Giant Silkworm,"chapter 154 - with me around, he won’t die"
12,https://media.light-novelpub.com/novel_200_89/disciple-cashback-system-i-got-exposed-by-my-disciple.jpg,disciple cashback system: i got exposed by my disciple,Three Golden Crow,chapter 165 - blaming others
13,https://media.light-novelpub.com/novel_200_89/worldwide-simulation-era.jpg,worldwide simulation era,White Divine Crane,chapter 302 - the fourth sss-grade talent!
14,https://media.light-novelpub.com/novel_200_89/ranking-of-kings-my-land-is-sss-rank.jpg,ranking of kings: my land is sss rank,Prince Bojji,chapter 323 - mythical skylight flower and
15,https://media.light-novelpub.com/novel_200_89/extracting-billions-of-toxins-and-tempering-an-unsullied-body.jpg,extracting billions of toxins and tempering an unsullied body,Superior Human,"chapter 393 - extraction, great teleportation"
16,https://media.light-novelpub.com/novel_200_89/affinity-chaos.jpg,affinity: chaos,Springs_Halo,chapter&nbsp;﻿949 power of decay
17,https://media.light-novelpub.com/novel_200_89/i-inherit-an-auction-house-at-the-start-trillion-times-rebate.jpg,"i inherit an auction house at the start, trillion times rebate!",Place of Belonging,chapter 441 - blood sea spirit pearl
18,https://media.light-novelpub.com/novel_200_89/super-detective-in-the-fictional-world.jpg,super detective in the fictional world,冰原三雅,"chapter 1941 - brother octopus, godzilla, let’s go"
19,https://media.light-novelpub.com/novel_200_89/rebirth-of-the-nameless-immortal-god.jpg,rebirth of the nameless immortal god,Awespec,chapter&nbsp;705 afraid?
